2022-03-27 12:03:188 INFO  ManageDriver :29 - Launching Chrome Browser
2022-03-27 12:03:492 INFO  HomePage :28 - clicking on acceptcookies button : [[ChromeDriver: chrome on WINDOWS (1d76d30330856c560975c7acac4b11b3)] -> xpath: //button[@id='CybotCookiebotDialogBodyLevelButtonLevelOptinAllowAll']]
2022-03-27 12:03:954 INFO  HomePage :33 - clicking on RequestDemo button : [[ChromeDriver: chrome on WINDOWS (1d76d30330856c560975c7acac4b11b3)] -> xpath: //a[@class='button button--small']]
2022-03-27 12:03:309 INFO  ManageDriver :29 - Launching Chrome Browser
2022-03-27 12:03:395 INFO  HomePage :28 - clicking on acceptcookies button : [[ChromeDriver: chrome on WINDOWS (9c49f27613712cebf2e0fb87fd1b0c76)] -> xpath: //button[@id='CybotCookiebotDialogBodyLevelButtonLevelOptinAllowAll']]
2022-03-27 12:03:542 INFO  HomePage :33 - clicking on RequestDemo button : [[ChromeDriver: chrome on WINDOWS (9c49f27613712cebf2e0fb87fd1b0c76)] -> xpath: //a[@class='button button--small']]
2022-03-27 12:03:827 INFO  ManageDriver :29 - Launching Chrome Browser
2022-03-27 12:03:353 INFO  HomePage :28 - clicking on acceptcookies button : [[ChromeDriver: chrome on WINDOWS (ce2719d8652bcd6b8ca166b324ef8541)] -> xpath: //button[@id='CybotCookiebotDialogBodyLevelButtonLevelOptinAllowAll']]
2022-03-27 12:03:477 INFO  HomePage :33 - clicking on RequestDemo button : [[ChromeDriver: chrome on WINDOWS (ce2719d8652bcd6b8ca166b324ef8541)] -> xpath: //a[@class='button button--small']]
2022-03-27 13:03:160 INFO  ManageDriver :29 - Launching Chrome Browser
2022-03-27 13:03:356 INFO  HomePage :37 - clicking on acceptcookies button : [[ChromeDriver: chrome on WINDOWS (5f9e037d45063fa7e0b74e0fae6e6e69)] -> xpath: //button[@id='CybotCookiebotDialogBodyLevelButtonLevelOptinAllowAll']]
2022-03-27 13:03:603 INFO  HomePage :42 - mousehover on Resources : [[ChromeDriver: chrome on WINDOWS (5f9e037d45063fa7e0b74e0fae6e6e69)] -> xpath: //span[@class='navigation__list__label']//span[contains(text(),'Resources')]]
2022-03-27 13:03:714 INFO  ManageDriver :29 - Launching Chrome Browser
2022-03-27 13:03:167 INFO  HomePage :37 - clicking on acceptcookies button : [[ChromeDriver: chrome on WINDOWS (292528e6431d8b80d31f52da19115d6f)] -> xpath: //button[@id='CybotCookiebotDialogBodyLevelButtonLevelOptinAllowAll']]
2022-03-27 13:03:282 INFO  HomePage :42 - mousehover on Resources : [[ChromeDriver: chrome on WINDOWS (292528e6431d8b80d31f52da19115d6f)] -> xpath: //span[@class='navigation__list__label']//span[contains(text(),'Resources')]]
2022-03-27 13:03:514 INFO  HomePage :47 - click on events : [[ChromeDriver: chrome on WINDOWS (292528e6431d8b80d31f52da19115d6f)] -> xpath: //span[normalize-space()='Events']]
2022-03-27 13:03:335 INFO  ManageDriver :29 - Launching Chrome Browser
2022-03-27 13:03:932 INFO  HomePage :37 - clicking on acceptcookies button : [[ChromeDriver: chrome on WINDOWS (5ea19599bbfdcc99c4d2c3df4c546f71)] -> xpath: //button[@id='CybotCookiebotDialogBodyLevelButtonLevelOptinAllowAll']]
2022-03-27 13:03:115 INFO  HomePage :42 - mousehover on Resources : [[ChromeDriver: chrome on WINDOWS (5ea19599bbfdcc99c4d2c3df4c546f71)] -> xpath: //span[@class='navigation__list__label']//span[contains(text(),'Resources')]]
